basin,month,day,min_rain,max_rain,perc10,perc25,perc75,perc90,median_rain
Cibolo-Dry Comal,10,27,10.667545392514365,52.24460739461733,12.920938755018655,20.552588472178932,35.902246027364924,40.45810953871911,25.602744225500558
Cibolo-Dry Comal,10,28,10.667552938053557,52.24498514203097,12.920938755018655,20.728181289156865,35.902246027364924,40.45810953871911,25.602744225500558
Cibolo-Dry Comal,10,29,10.667552938053557,52.24844526224556,13.11014802724719,20.74708172566708,35.902246027364924,40.45810953871911,25.60363816780305
Cibolo-Dry Comal,10,30,10.667552938053557,52.24858306592833,13.11014802724719,20.999870758032927,35.902246027364924,43.40746199153326,25.610006935029446
Cibolo-Dry Comal,10,31,10.667552938053557,52.24858306592833,13.11014802724719,21.459620057382892,35.904407245625386,43.54378229405536,25.860598036432073
Cibolo-Dry Comal,11,1,10.667552938053557,52.259373845538626,13.212413182517322,21.459620057382892,36.495536411402654,43.54378229405536,25.87008832679246
Cibolo-Dry Comal,11,2,10.667552938053557,52.261564643495646,14.261451311984377,22.49351923564191,37.08054459810968,43.97343907835778,26.843912005012868
Cibolo-Dry Comal,11,3,10.677947307008818,52.462529168026684,14.261451311984377,22.49351923564191,37.08054459810968,43.97403942489673,26.855477859686665
Cibolo-Dry Comal,11,4,10.677947307008818,52.482804305487925,13.213199088196,21.45973627562561,36.75092994983906,43.571544602133464,25.897488812540967
Cibolo-Dry Comal,11,5,10.677947307008818,53.571367104887415,13.254128605547523,22.595407773983382,36.75092994983906,43.571544602133464,27.03692223121063
Cibolo-Dry Comal,11,6,10.677947307008818,53.571367104887415,13.284299884043339,22.595407773983382,36.75092994983906,43.57234674566879,27.03692223121063
Cibolo-Dry Comal,11,7,10.692145537447475,53.571367104887415,13.349355045942044,22.595407773983382,36.75092994983906,43.651245095831285,27.037031435310848
Cibolo-Dry Comal,11,8,10.70905618234518,53.571367104887415,13.397432615905835,22.595407773983382,36.751578510569956,43.8721413254332,27.037225781031967
Cibolo-Dry Comal,11,9,10.73705568894052,53.571367104887415,13.422310800192715,22.595407773983382,37.05577069687045,44.107945870468406,27.106867364599456
Cibolo-Dry Comal,11,10,10.754022060209033,53.571367104887415,13.43347926699818,23.08754638420954,37.071066048037906,44.12255092496442,27.106867364599456
Cibolo-Dry Comal,11,11,10.754022060209033,53.571367104887415,13.43347926699818,23.09184535215634,37.08669517893897,44.134595441288504,27.106867364599456
Cibolo-Dry Comal,11,12,10.754022060209033,53.571367104887415,13.474528083265582,23.13208206029426,37.16707990737525,44.14431296380139,27.106867364599456
Cibolo-Dry Comal,11,13,10.754022060209033,53.571367104887415,13.474528083265582,23.304423877492326,37.19197321255261,44.14431296380139,27.106867364599456
Cibolo-Dry Comal,11,14,10.754022060209033,53.571367104887415,13.50158648721311,23.336003710685333,37.2302595883621,44.14431296380139,27.106867364599456
Cibolo-Dry Comal,11,15,10.754855505085827,53.571367104887415,13.586926574249215,23.337064459717247,38.09190000638263,44.14431296380139,27.106867364599456
Cibolo-Dry Comal,11,16,11.266424880665104,53.57150924394603,13.586926574249215,23.337064459717247,38.11187599971347,44.14431296380139,27.106867364599456
Cibolo-Dry Comal,11,17,11.266424880665104,53.57150924394603,13.586926574249215,23.337064459717247,39.33310068286306,44.14510024002139,27.106867364599456
Cibolo-Dry Comal,11,18,11.266424880665104,53.57150924394603,13.586926574249215,23.337064459717247,39.346625266735046,44.16197461586691,27.339437453595703
Cibolo-Dry Comal,11,19,11.266424880665104,53.57150924394603,13.60939893116636,23.337064459717247,39.36764167398405,44.16197461586691,27.54319414926751
Cibolo-Dry Comal,11,20,11.266424880665104,53.57150924394603,13.930832246818326,23.349877953696137,39.36764167398405,44.16197461586691,27.54319414926751
Cibolo-Dry Comal,11,21,11.266424880665104,53.57150924394603,13.936482478539634,23.35017180320388,39.36764167398405,44.16197461586691,27.606869987481964
